,iso3c,country,region,year,gdp_percap,life_expect,population,birth_rate,neonat_mortal_rate,income
3642,ROU,Romania,Europe & Central Asia,2007,0.4463045408576993,0.1538970515484318,0.8326889212548978,-0.5612062418853041,-0.2286995515695067,0.0
3643,ROU,Romania,Europe & Central Asia,2008,0.630300418240676,0.1538970515484318,0.8136532033937056,-0.5367090468141398,-0.2645739910313901,0.0
3644,ROU,Romania,Europe & Central Asia,2009,0.6186243965222348,0.20778473900691327,0.8042547910319373,-0.5318096077999069,-0.2959641255605381,0.0
3645,ROU,Romania,Europe & Central Asia,2010,0.669823457684985,0.2185622764986108,0.7976017467716193,-0.5514073638568384,-0.3228699551569506,0.0
3646,ROU,Romania,Europe & Central Asia,2011,0.7397831263923911,0.2874678440684686,0.7921220975049154,-0.5906028759707014,-0.34529147982062774,0.0
3647,ROU,Romania,Europe & Central Asia,2012,0.8258793410674126,0.28764452501095217,0.7871857632707454,-0.5759045589280027,-0.35874439461883406,0.0
3648,ROU,Romania,Europe & Central Asia,2013,0.8702336302435829,0.3348183366549313,0.7830851413267201,-0.6199995100560987,-0.3721973094170404,0.0
3649,ROU,Romania,Europe & Central Asia,2014,0.9237674277719338,0.3348183366549313,0.7789640002768976,-0.6151000710418658,-0.3856502242152466,0.0
3650,RUS,Russian Federation,Europe & Central Asia,1990,0.09613589127424425,-0.11147772406677522,7.8604284907784,-0.40932363244408515,-0.04932735426008967,0.0
3651,RUS,Russian Federation,Europe & Central Asia,1991,0.08483790409780195,-0.14248522947321168,7.878741241113558,-0.4730163396291125,-0.04932735426008967,0.0
3652,RUS,Russian Federation,Europe & Central Asia,1992,0.01854305941315661,-0.2584762682158074,7.882326568739418,-0.5416084858283727,-0.04932735426008967,0.0
3653,RUS,Russian Federation,Europe & Central Asia,1993,-0.01078176272814866,-0.3988139408330863,7.873004716912184,-0.6053011930134,-0.040358744394618846,0.0
3654,RUS,Russian Federation,Europe & Central Asia,1994,-0.05631819297574363,-0.4327720179790551,7.862855481786673,-0.6004017539991672,-0.03587443946188336,0.0
3655,RUS,Russian Federation,Europe & Central Asia,1995,-0.06465538447103908,-0.37814227056213073,7.865046723713826,-0.6102006320276329,-0.03587443946188336,0.0
3656,RUS,Russian Federation,Europe & Central Asia,1996,-0.07106208827302533,-0.30766424260413855,7.853149834426812,-0.6297983880845643,-0.04484304932735426,0.0
3657,RUS,Russian Federation,Europe & Central Asia,1997,-0.05891857755225604,-0.25285781424472337,7.8396505243265855,-0.644496705127263,-0.05829596412556049,0.0
3658,RUS,Russian Federation,Europe & Central Asia,1998,-0.07478733295403228,-0.2649427907108232,7.826157833292745,-0.6346978270987972,-0.0717488789237668,0.0
3659,RUS,Russian Federation,Europe & Central Asia,1999,-0.04438912813515319,-0.31856545675557163,7.800988833359212,-0.6591950221699615,-0.08968609865470852,0.0
3660,RUS,Russian Federation,Europe & Central Asia,2000,0.016622914705022376,-0.36943190009753224,7.766909742686552,-0.6395972661130301,-0.11659192825112105,0.0
3661,RUS,Russian Federation,Europe & Central Asia,2001,0.05293088177102029,-0.3588310435483183,7.732685087712283,-0.6199995100560987,-0.1434977578475336,0.0
3662,RUS,Russian Federation,Europe & Central Asia,2002,0.09722877347344873,-0.3879833990586479,7.695726592843852,-0.5857034369564685,-0.17488789237668162,0.0
3663,RUS,Russian Federation,Europe & Central Asia,2003,0.17922371038640453,-0.3936195211239713,7.659443684017906,-0.5661056808995371,-0.20627802690582958,0.0
3664,RUS,Russian Federation,Europe & Central Asia,2004,0.24470482916635033,-0.36365443327821234,7.627385173677407,-0.5563068028710713,-0.242152466367713,0.0
3665,RUS,Russian Federation,Europe & Central Asia,2005,0.35124154429727933,-0.360120814428474,7.597128814478325,-0.5661056808995371,-0.27354260089686094,0.0
3666,RUS,Russian Federation,Europe & Central Asia,2006,0.5584171118947937,-0.2751372810923148,7.571259572480018,-0.5563068028710713,-0.3049327354260089,0.0
3667,RUS,Russian Federation,Europe & Central Asia,2007,0.6744268704430437,-0.21324594693917734,7.557776534251325,-0.5122118517429755,-0.3318385650224215,0.0
3668,RUS,Russian Federation,Europe & Central Asia,2008,0.9098081191233306,-0.18780389122107682,7.554315976026845,-0.4779157786433454,-0.3542600896860986,0.0
3669,RUS,Russian Federation,Europe & Central Asia,2009,0.8577755385606188,-0.13303279905016308,7.556687366877474,-0.4632174616006467,-0.3766816143497757,0.0
3670,RUS,Russian Federation,Europe & Central Asia,2010,0.9321970546559997,-0.11483466197402277,7.560223437617643,-0.453418583572181,-0.3946188340807175,0.0
3671,RUS,Russian Federation,Europe & Central Asia,2011,1.1716895242839298,-0.0567066318958553,7.5663691855983455,-0.44851914455794817,-0.4080717488789237,0.0
3672,RUS,Russian Federation,Europe & Central Asia,2012,1.254877528403387,-0.005469158574679886,7.579651886751083,-0.414223071458318,-0.42152466367713,0.0
3673,RUS,Russian Federation,Europe & Central Asia,2013,1.1777807613156088,-0.005469158574679886,7.596488309487687,-0.41912251047255095,-0.4349775784753363,0.0
3674,RUS,Russian Federation,Europe & Central Asia,2014,1.2400175360454735,-0.005469158574679886,7.613734176639164,-0.414223071458318,-0.4439461883408071,0.0
3675,RWA,Rwanda,Sub-Saharan Africa,1990,-0.40363199433160574,-2.677079358012133,0.08124606131075716,1.2820607040493863,1.1524663677130043,-0.24108799197793934
3676,RWA,Rwanda,Sub-Saharan Africa,1991,-0.4023756914708813,-2.947950677748099,0.07085705050540708,1.2264520712378433,1.1704035874439462,-0.24108799197793934
3677,RWA,Rwanda,Sub-Saharan Africa,1992,-0.3970209969086308,-3.1118204850951985,0.051084299602111374,1.1745180176869747,1.2062780269058295,-0.24108799197793934
3678,RWA,Rwanda,Sub-Saharan Africa,1993,-0.39691761311913315,-3.1411406875008874,0.02832761841302919,1.1287082629038976,1.26457399103139,-0.24108799197793934
3679,RWA,Rwanda,Sub-Saharan Africa,1994,-0.41720199317413886,-3.033262837637287,0.011538852954406492,1.0900516890816,1.3856502242152466,-0.24108799197793934
3680,RWA,Rwanda,Sub-Saharan Africa,1995,-0.4079108726341216,-2.8111360231240026,0.006947868508936705,1.058156341098944,1.390134529147982,-0.24108799197793934
3681,RWA,Rwanda,Sub-Saharan Africa,1996,-0.40422823006428094,-2.5195912663076565,0.017148566875599337,1.0312094265206635,1.358744394618834,-0.24108799197793934
3682,RWA,Rwanda,Sub-Saharan Africa,1997,-0.4011400191634247,-2.2192866683628063,0.03967711090990375,1.006222287548076,1.3766816143497755,-0.24108799197793934
3683,RWA,Rwanda,Sub-Saharan Africa,1998,-0.40051469524689487,-1.957752936437269,0.06952237092751598,0.9808921878444917,1.3677130044843049,-0.24108799197793934
3684,RWA,Rwanda,Sub-Saharan Africa,1999,-0.3999234863727275,-1.7541352174589075,0.09919492847133489,0.9546311947282036,1.295964125560538,-0.24108799197793934
3685,RWA,Rwanda,Sub-Saharan Africa,2000,-0.3979982152743506,-1.6116985752448854,0.12328457931282508,0.9280762352710616,1.2197309417040356,-0.24108799197793934
3686,RWA,Rwanda,Sub-Saharan Africa,2001,-0.39500816452789655,-1.5164180765805886,0.14023148529919147,0.9026971411773353,1.130044843049327,-0.24108799197793934
3687,RWA,Rwanda,Sub-Saharan Africa,2002,-0.3893660060906438,-1.4369434550311677,0.15181021812857481,0.8798167609808679,1.0269058295964124,-0.24108799197793934
3688,RWA,Rwanda,Sub-Saharan Africa,2003,-0.3884886026541923,-1.3494899221190437,0.15994284436175515,0.8599250385830821,0.9237668161434978,-0.24108799197793934
3689,RWA,Rwanda,Sub-Saharan Africa,2004,-0.3842736702085458,-1.249121012311128,0.167802268629845,0.8421400749614169,0.8206278026905828,-0.24108799197793934
3690,RWA,Rwanda,Sub-Saharan Africa,2005,-0.3796930397853439,-1.1365522834245,0.17769082285751164,0.8243551113397516,0.7219730941704037,-0.24108799197793934
3691,RWA,Rwanda,Sub-Saharan Africa,2006,-0.3736954037410249,-1.0181106800096111,0.18998082952897896,0.803826461870116,0.6457399103139013,-0.24108799197793934
3692,RWA,Rwanda,Sub-Saharan Africa,2007,-0.3686475913804531,-0.9051532530495153,0.2037728678401352,0.7784473677763897,0.57847533632287,-0.24108799197793934
3693,RWA,Rwanda,Sub-Saharan Africa,2008,-0.3613154918324241,-0.8059592715091426,0.21862335002533173,0.7470909580852992,0.5201793721973094,-0.24108799197793934
3694,RWA,Rwanda,Sub-Saharan Africa,2009,-0.35803560853968686,-0.7226082700815576,0.23375232942872767,0.7097572327968448,0.4663677130044843,-0.24108799197793934
3695,RWA,Rwanda,Sub-Saharan Africa,2010,-0.35326956743760496,-0.6548193260682132,0.24859420682762215,0.6676220572744421,0.4125560538116592,-0.24108799197793934
3696,RWA,Rwanda,Sub-Saharan Africa,2011,-0.34687260521433394,-0.6002302152680645,0.2630877558579427,0.6228411846843536,0.3497757847533632,-0.24108799197793934
3697,RWA,Rwanda,Sub-Saharan Africa,2012,-0.33927525981218865,-0.5535793792138448,0.2774798676958947,0.5781093064844076,0.29147982062780275,-0.24108799197793934
3698,RWA,Rwanda,Sub-Saharan Africa,2013,-0.3353432600525297,-0.5104444939151085,0.29186227156981365,0.5357291590112933,0.23766816143497752,-0.24108799197793934
3699,RWA,Rwanda,Sub-Saharan Africa,2014,-0.328784975463288,-0.4690940861354921,0.3063938250729683,0.4965826412875726,0.19730941704035876,-0.24108799197793934
3700,WSM,Samoa,East Asia & Pacific,1990,-0.28249618225108086,-0.39123962882868035,-0.3102096616857273,0.5567477523823523,0.0717488789237668,-0.197743795437453
3701,WSM,Samoa,East Asia & Pacific,1991,-0.28216658573984416,-0.3536772604559796,-0.31014302975077285,0.5382278729085521,0.04932735426008967,-0.197743795437453
3702,WSM,Samoa,East Asia & Pacific,1992,-0.2803412329542883,-0.31665553576729144,-0.31006056721537806,0.5228926287940031,0.02690582959641254,-0.197743795437453
3703,WSM,Samoa,East Asia & Pacific,1993,-0.2714835506692052,-0.28049954769679003,-0.3099702169592064,0.5107910144288479,0.0,-0.197743795437453
3704,WSM,Samoa,East Asia & Pacific,1994,-0.27384852335166776,-0.24553615598807046,-0.30988306591845477,0.5016780578623747,-0.02690582959641254,-0.197743795437453
3705,WSM,Samoa,East Asia & Pacific,1995,-0.2604873788878158,-0.21198091139097555,-0.30980738792610585,0.49413292178045615,-0.04932735426008967,-0.197743795437453
3706,WSM,Samoa,East Asia & Pacific,1996,-0.24532987217689056,-0.18016244045852572,-0.30974572029094105,0.4863918081379682,-0.0717488789237668,-0.197743795437453
3707,WSM,Samoa,East Asia & Pacific,1997,-0.24177505627936213,-0.15000830400429488,-0.3096952499097463,0.47683790206021404,-0.09417040358744393,-0.197743795437453
3708,WSM,Samoa,East Asia & Pacific,1998,-0.23614623886166228,-0.12144782965130171,-0.30965178470714355,0.4645893045246319,-0.11210762331838564,-0.197743795437453
3709,WSM,Samoa,East Asia & Pacific,1999,-0.2294371843251258,-0.09448278420896536,-0.3096088159345198,0.4495970211410794,-0.13452914798206278,-0.197743795437453
3710,WSM,Samoa,East Asia & Pacific,2000,-0.21083611748256587,-0.06910963405843525,-0.30956159992763155,0.4331349060532569,-0.1524663677130045,-0.197743795437453
3711,WSM,Samoa,East Asia & Pacific,2001,-0.19067003040242306,-0.045255940013284215,-0.3095090335087478,0.4171627348668577,-0.16591928251121071,-0.197743795437453
3712,WSM,Samoa,East Asia & Pacific,2002,-0.17735530264278598,-0.022669048325768507,-0.3094524956500323,0.40354229440729034,-0.17937219730941703,-0.197743795437453
3713,WSM,Samoa,East Asia & Pacific,2003,-0.16170558090706583,-0.0010927716292834868,-0.30939264825812374,0.3931064893069743,-0.19282511210762326,-0.197743795437453
3714,WSM,Samoa,East Asia & Pacific,2004,-0.14266742059267631,0.019794449391512828,-0.3093310357818455,0.3855613532250557,-0.20179372197309417,-0.197743795437453
3715,WSM,Samoa,East Asia & Pacific,2005,-0.12232886428268887,0.040245268484360094,-0.3092684856044959,0.3794370544572646,-0.20627802690582958,-0.197743795437453
3716,WSM,Samoa,East Asia & Pacific,2006,-0.1082126974891954,0.060653684151014055,-0.3092053838382808,0.37238186227676934,-0.210762331838565,-0.197743795437453
3717,WSM,Samoa,East Asia & Pacific,2007,-0.08012690768949673,0.08109036876846425,-0.3091410685765615,0.3622400235173073,-0.2152466367713004,-0.197743795437453
3718,WSM,Samoa,East Asia & Pacific,2008,-0.07178341290630752,0.10162776152312852,-0.30907476759492636,0.34739472330418164,-0.21973094170403587,-0.197743795437453
3719,WSM,Samoa,East Asia & Pacific,2009,-0.08925637817470647,0.12237363778993449,-0.30900526739787126,0.3276499840768232,-0.21973094170403587,-0.197743795437453
3720,WSM,Samoa,East Asia & Pacific,2010,-0.0858156326357538,0.1431142136284605,-0.30893196123764405,0.30325077778594345,-0.21973094170403587,-0.197743795437453
3721,WSM,Samoa,East Asia & Pacific,2011,-0.06044888126461482,0.1637063774752971,-0.30885446300203895,0.2752259866245315,-0.22421524663677128,-0.197743795437453
3722,WSM,Samoa,East Asia & Pacific,2012,-0.0549106336174521,0.18390100920154281,-0.3087735449154676,0.245633374978565,-0.2286995515695067,-0.197743795437453
3723,WSM,Samoa,East Asia & Pacific,2013,-0.05920826983708042,0.20348432486677914,-0.3086914133333922,0.21643271845373707,-0.2331838565022421,-0.197743795437453
3724,WSM,Samoa,East Asia & Pacific,2014,-0.05128500378742873,0.22242275509194534,-0.3086111571534595,0.18879988241346368,-0.242152466367713,-0.197743795437453
3725,SMR,San Marino,Europe & Central Asia,1990,0.9530337092927488,0.18986964480063237,-0.3178668183168321,-0.18665392812522968,-0.3811659192825112,0.9466532965655553
3726,SMR,San Marino,Europe & Central Asia,1991,2.5192672696734784,0.3106483837227364,-0.3178480642954045,0.014801205261997472,-0.41704035874439466,0.9466532965655553
3727,SMR,San Marino,Europe & Central Asia,1992,4.139678819155577,0.40683631570764217,-0.3178276555073804,-0.13434751720927954,-0.4573991031390134,0.9466532965655553
3728,SMR,San Marino,Europe & Central Asia,1993,1.3199580471450705,0.6986347863574058,-0.31780636417717145,-0.5876632125621616,-0.5022421524663677,0.9466532965655553
3729,SMR,San Marino,Europe & Central Asia,1994,1.507088936280585,0.5881742144765301,-0.3177855141180549,-0.49889517650229054,-0.5381165919282511,0.9466532965655553
3730,SMR,San Marino,Europe & Central Asia,1995,2.9938451757440836,0.6286585322760758,-0.3177658775544425,-0.4632174616006467,-0.5695067264573991,0.9466532965655553
3731,SMR,San Marino,Europe & Central Asia,1996,2.9938451757440836,0.6286387440105193,-0.3177478957574267,-0.487714656671811,-0.5874439461883407,0.9466532965655553
3732,SMR,San Marino,Europe & Central Asia,1997,2.387188149160932,0.6542574806711035,-0.31773123777368806,-0.5141716273486686,-0.600896860986547,0.9466532965655553
3733,SMR,San Marino,Europe & Central Asia,1998,2.2448525822175953,0.7049649111648209,-0.31771513137881496,-0.5141716273486686,-0.6098654708520179,0.9466532965655553
3734,SMR,San Marino,Europe & Central Asia,1999,4.0499373360541675,0.7304069668829214,-0.31769847339507634,-0.5864579505646603,-0.6143497757847534,0.9466532965655553
3735,SMR,San Marino,Europe & Central Asia,2000,4.0499373360541675,0.7372975236399135,-0.31768065707472015,-0.5864579505646603,-0.6188340807174887,0.9466532965655553
3736,SMR,San Marino,Europe & Central Asia,2001,3.4092299444955847,0.7629162603004976,-0.3176612963055405,-0.5563068028710713,-0.6233183856502242,0.9466532965655553
3737,SMR,San Marino,Europe & Central Asia,2002,3.4092299444955847,0.7735171168497116,-0.31764083235862983,-0.5514073638568384,-0.6233183856502242,0.9466532965655553
3738,SMR,San Marino,Europe & Central Asia,2003,2.5248650475100054,0.7807610354916708,-0.3176199822995133,-0.5514073638568384,-0.6278026905829596,0.9466532965655553
3739,SMR,San Marino,Europe & Central Asia,2004,3.433868516875056,0.8171573096439534,-0.31759951835260264,-0.5563068028710713,-0.632286995515695,0.9466532965655553
3740,SMR,San Marino,Europe & Central Asia,2005,3.4235626002280326,0.8355321276625844,-0.317580157583423,-0.6004017539991672,-0.632286995515695,0.9466532965655553
3741,SMR,San Marino,Europe & Central Asia,2006,4.31288919841342,0.8503733268314783,-0.31756217578640716,-0.5759045589280027,-0.632286995515695,0.9466532965655553
3742,SMR,San Marino,Europe & Central Asia,2007,3.4235626002280335,0.8739602326534648,-0.3175452971671223,-0.6053011930134,-0.632286995515695,0.9466532965655553
3743,SMR,San Marino,Europe & Central Asia,2008,4.31288919841342,0.8975471384754574,-0.31752952172556853,-0.5269101687856741,-0.6367713004484304,0.9466532965655553
3744,SMR,San Marino,Europe & Central Asia,2009,4.31288919841342,0.9094152792394146,-0.31751457366731306,-0.5432416321664487,-0.6367713004484304,0.9466532965655553
3745,SMR,San Marino,Europe & Central Asia,2010,4.31288919841342,0.9212834200033645,-0.31750028751569614,-0.5595730955472281,-0.6412556053811659,0.9466532965655553
